time;user;label;NewHiresByEthnicity.Ethnicity;NewHiresByEthnicity.NewHires;Region.Region;Ethnicity.Ethnicity;NewHiresByRegion.Region;NewHiresByRegion.NewHires;NewHiresAndNewHiresSamePeriodLastYear.Month;NewHiresAndNewHiresSamePeriodLastYear.NewHires;NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY;NewHiresByMonthAndFPDesc.Month;NewHiresByMonthAndFPDesc.FPDesc;NewHiresByMonthAndFPDesc.NewHires;Year.Year
1653797551311;5d242f41-c7df-43ab-8734-3e3b3986cc60;Root;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1;0,0,0,0,0,0,0
1653797938611;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Jul selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0;1;1;0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1;0,0,0,0;0.09315862708719852;0,0,0,0,0,0,0
1653797942160;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Nov selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;1;1;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,0,0,0;0.09962894248608534;0,0,0,0,0,0,0
1653797944256;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Month and FPDesc (lineChart) - Month: Nov, FPDesc: Part-Time selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;0,0,1,0;1;0,0,0,0,0,0,0
1653797946111;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Month and FPDesc (lineChart) - Month: Oct, FPDesc: Part-Time selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0,0,1,0;1;0,0,0,0,0,0,0
1653797950280;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group D selected;0,0,0,0,0,0,0,0,1,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.018320964749536178;0,0,0,0,0,0,0
1653797953370;5d242f41-c7df-43ab-8734-3e3b3986cc60;Ethnicity (slicer) - Ethnicity: Group B selected;0,1,0,0,0,1,0,1,1,1,0,1,0,1;0.19100185528756958;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.19100185528756958;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.19100185528756958;0.19100185528756958;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;0;0,0,0,0,0,0,0
1653797956372;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group B selected;0,1,1,0,0,1,0,1,0,1,0,1,0,1;0.19100185528756958;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.19100185528756958;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.19100185528756958;0.19100185528756958;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.19100185528756958;0,0,0,0,0,0,0
1653797964464;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Region (clusteredBarChart) - Region: Northwest selected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.19100185528756958;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0,0,0,0,0;0.19100185528756958;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.19100185528756958;0.19100185528756958;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.031679035250463825;0,0,0,0,0,0,0
1653797970043;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Region (clusteredBarChart) - Region: South selected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.19100185528756958;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,1,0,0,0;0.19100185528756958;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.19100185528756958;0.19100185528756958;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.05408163265306123;0,0,0,0,0,0,0
