timestamp;user;triggeredAction;selectedValues;filteredValues;Ethnicity.Ethnicity[categorical];Region.Region[categorical];NewHiresAndNewHiresSamePeriodLastYear.Month[categorical];NewHiresAndNewHiresSamePeriodLastYear.NewHires[numerical];NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY[numerical];NewHiresByMonth(Full-Time/Part-Time).Month[categorical];NewHiresByMonth(Full-Time/Part-Time).FPDesc[categorical];NewHiresByMonth(Full-Time/Part-Time).NewHires[numerical];NewHiresByEthnicity.Ethnicity[categorical];NewHiresByEthnicity.NewHires[numerical];NewHiresByRegion.Region[categorical];NewHiresByRegion.NewHires[numerical];Year.Year[categorical]
1654418155782;0c3e4bb7-46ab-4fb0-bd15-3c1f24abd347;Root;;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;217,1259,240,1833,318,2567,404,2837,435,3638,357,3930,311,3706,386,4569,366,4502,396,5006,330,3966,151,1396;0,0,0,0,0,0,0,0,0,0,0,0,0,0;30313,8236,1999,1516,790,213,53;0,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,0,0
1654418163681;0c3e4bb7-46ab-4fb0-bd15-3c1f24abd347;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Aug selected;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,0;386,4569;0,0,0,0,0,0,0,0,0,0,0,0,0,0;30313,8236,1999,1516,790,213,53;0,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,0,0
1654418166822;0c3e4bb7-46ab-4fb0-bd15-3c1f24abd347;Ethnicity (slicer) - Ethnicity: Group C selected;Ethnicity.Ethnicitycategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical;0,0,1,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0;69,93,119,155,171,166,228,218,235,256,201,88;69,93,119,155,171,166,228,218,235,256,201,88;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,0;14,204;0,1,0,1,0,0,0,1,0,1,0,1,0,1;1999;0,0,0,0,0,0,0,0,0,0,0,0,0,0;347,274,149,195,362,275,397;0,0,0,0,0,0,0
1654418167580;0c3e4bb7-46ab-4fb0-bd15-3c1f24abd347;Region (slicer) - Region: Northwest selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0;5,8,8,16,13,12,16,21,11,17,20,2;5,8,8,16,13,12,16,21,11,17,20,2;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,0;2,19;0,1,0,1,0,0,0,1,0,1,0,1,0,1;149;0,1,0,1,0,0,0,1,0,1,0,1,0,1;149;0,0,0,0,0,0,0
1654418169840;0c3e4bb7-46ab-4fb0-bd15-3c1f24abd347;Year (slicer) - Year: 2011 selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0;5,8,8,16,13,12,16,21,11,17,20,2;5,8,8,16,13,12,16,21,11,17,20,2;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,0;1,2;0,1,0,1,0,0,0,1,0,1,0,1,0,1;149;0,1,0,1,0,0,0,1,0,1,0,1,0,1;149;0,1,0,0,0,0,0
1654418171059;0c3e4bb7-46ab-4fb0-bd15-3c1f24abd347;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Nov selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0;1,1,1,2,2,2,3,1,2,1;0;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,1,0,0;2;0,1,0,1,0,0,0,1,0,1,0,1,0,1;16;0,1,0,1,0,0,0,1,0,1,0,1,0,1;16;0,1,0,0,0,0,0
1654418172598;0c3e4bb7-46ab-4fb0-bd15-3c1f24abd347;New Hires by Region (clusteredBarChart) - Region: Northwest, Region: Northwest selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByRegion.Regioncategorical, Year.Yearcategorical;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0;1,1,1,2,2,2,3,1,2,1;0;0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0;0,0,0,0;1,1,1,1,1,1,1,2,1,2,1,2,1;0,1,0,1,0,0,0,1,0,1,0,1,0,1;16;0,1,0,1,1,0,0,1,0,1,0,1,0,1;16;0,1,0,0,0,0,0
1654418175503;0c3e4bb7-46ab-4fb0-bd15-3c1f24abd347;Year (slicer) - Year: 2013 selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByRegion.Regioncategorical, Year.Yearcategorical;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0;1,1,1,2,2,2,3,1,2,1;0;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,2,3,2,4,6,1,1,2,4,4,3,4,6,1;0,1,0,1,0,0,0,1,0,1,0,1,0,1;16;0,1,0,1,1,0,0,1,0,1,0,1,0,1;16;0,0,0,1,0,0,0
1654418177068;0c3e4bb7-46ab-4fb0-bd15-3c1f24abd347;New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group C selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByEthnicity.Ethnicitycategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;2,5,6,6,1,3,4,4,7,6,1;1,1,1,2,1,1,3,4,5,6;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,2,3,2,4,6,1,1,2,4,4,3,4,6,1;0,1,0,1,1,0,0,1,0,1,0,1,0,1;45;0,1,0,1,0,0,0,1,0,1,0,1,0,1;45;0,0,0,1,0,0,0
1654418177972;0c3e4bb7-46ab-4fb0-bd15-3c1f24abd347;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Oct selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;2,5,6,6,1,3,4,4,7,6,1;1,1,1,2,1,1,3,4,5,6;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;3,4;0,1,0,1,0,0,0,1,0,1,0,1,0,1;45;0,1,0,1,0,0,0,1,0,1,0,1,0,1;45;0,0,0,1,0,0,0
