timestamp;user;triggeredAction;selectedValues;filteredValues;Ethnicity.Ethnicity[categorical];Region.Region[categorical];NewHiresAndNewHiresSamePeriodLastYear.Month[categorical];NewHiresAndNewHiresSamePeriodLastYear.NewHires[numerical];NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY[numerical];NewHiresByMonth(Full-Time/Part-Time).Month[categorical];NewHiresByMonth(Full-Time/Part-Time).FPDesc[categorical];NewHiresByMonth(Full-Time/Part-Time).NewHires[numerical];NewHiresByEthnicity.Ethnicity[categorical];NewHiresByEthnicity.NewHires[numerical];NewHiresByRegion.Region[categorical];NewHiresByRegion.NewHires[numerical];Year.Year[categorical]
1654351439968;39f226d8-2d7a-4691-8578-3d349ea61d82;Root;;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;217,1259,240,1833,318,2567,404,2837,435,3638,357,3930,311,3706,386,4569,366,4502,396,5006,330,3966,151,1396;0,0,0,0,0,0,0,0,0,0,0,0,0,0;30313,8236,1999,1516,790,213,53;0,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,0,0
1654351444949;39f226d8-2d7a-4691-8578-3d349ea61d82;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Sep selected;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1;0,0,0,0;366,4502;0,0,0,0,0,0,0,0,0,0,0,0,0,0;30313,8236,1999,1516,790,213,53;0,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,0,0
1654351447352;39f226d8-2d7a-4691-8578-3d349ea61d82;New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group B selected;NewHiresByEthnicity.Ethnicitycategorical;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;13,187,24,275,25,432,32,519,27,726,41,934,40,803,39,905,31,899,26,1090,28,851,21,268;0,0,1,0,0,0,0,0,0,0,0,0,0,0;30313,8236,1999,1516,790,213,53;0,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,0,0
1654351448512;39f226d8-2d7a-4691-8578-3d349ea61d82;Ethnicity (slicer) - Ethnicity: Group E selected;Ethnicity.Ethnicitycategorical, NewHiresByEthnicity.Ethnicitycategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical;0,0,0,0,1,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;10,8,8,22,20,23,21,28,21,31,18,3;10,8,8,22,20,23,21,28,21,31,18,3;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;;0,1,1,1,0,1,0,1,0,1,0,0,0,1;213;0,0,0,0,0,0,0,0,0,0,0,0,0,0;49,33,34,10,42,33,12;0,0,0,0,0,0,0
1654351448912;39f226d8-2d7a-4691-8578-3d349ea61d82;Region (slicer) - Region: East selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByEthnicity.Ethnicitycategorical;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,1,0,0;0,0,0,1,0,0,0;0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1;1,1,1,1,1,2,2,1;1,1,1,1,1,2,2,1;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;;0,1,1,1,0,1,0,1,0,1,0,0,0,1;10;0,1,0,1,0,1,0,0,0,1,0,1,0,1;10;0,0,0,0,0,0,0
1654351450828;39f226d8-2d7a-4691-8578-3d349ea61d82;Year (slicer) - Year: 2013 selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByEthnicity.Ethnicitycategorical, Year.Yearcategorical;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,1,0,0;0,0,0,1,0,0,0;0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;1,1;;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;;0,1,1,1,0,1,0,1,0,1,0,0,0,1;2;0,1,0,1,0,1,0,0,0,1,0,1,0,1;2;0,0,0,1,0,0,0
1654351452190;39f226d8-2d7a-4691-8578-3d349ea61d82;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Oct selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,1,0,0;0,0,0,1,0,0,0;0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1;1,1;;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,1,0,0;1;0,1,0,1,0,1,0,1,0,1,0,0,0,1;2;0,1,0,1,0,1,0,0,0,1,0,1,0,1;2;0,0,0,1,0,0,0
1654351457887;39f226d8-2d7a-4691-8578-3d349ea61d82;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - deselected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, Year.Yearcategorical;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,1,0,0;0,0,0,1,0,0,0;0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;1,1;;0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,1,0,0;1,1;0,1,0,1,0,1,0,1,0,1,0,0,0,1;2;0,1,0,1,0,1,0,0,0,1,0,1,0,1;2;0,0,0,1,0,0,0
1654351458898;39f226d8-2d7a-4691-8578-3d349ea61d82;Ethnicity (slicer) - deselected;Region.Regioncategorical, Year.Yearcategorical;NewHiresByRegion.Regioncategorical;0,0,0,0,0,0,0;0,0,0,1,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;88,72,77,110,112,86,127,104,102,151,119,76;32,30,19,27,39,49,39,47,53,77,66,48;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;19,69,17,55,15,62,37,73,35,77,27,59,26,101,28,76,32,70,38,113,24,95,21,55;0,0,0,0,0,0,0,0,0,0,0,0,0,0;802,246,87,44,41,2,2;0,1,0,1,0,1,0,0,0,1,0,1,0,1;1224;0,0,0,1,0,0,0
1654351460308;39f226d8-2d7a-4691-8578-3d349ea61d82;Region (slicer) - Region: Midwest selected;Region.Regioncategorical, Year.Yearcategorical;NewHiresByRegion.Regioncategorical;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;33,63,145,199,165,197,193,229,172,209,159,87;39,55,69,56,86,79,70,143,148,171,115,61;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;5,28,6,57,9,136,9,190,4,161,9,188,8,185,8,221,4,168,7,202,3,156,4,83;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1523,193,78,31,14,11,1;0,1,0,0,0,1,0,1,0,1,0,1,0,1;1851;0,0,0,1,0,0,0
1654351461689;39f226d8-2d7a-4691-8578-3d349ea61d82;Year (slicer) - Year: 2011 selected;Region.Regioncategorical, Year.Yearcategorical;NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;9,14,27,35,41,35,33,61,68,72,64,20;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,8,2,12,4,23,5,30,5,36,4,31,4,29,3,58,10,58,10,62,10,54,2,18;0,0,0,0,0,0,0,0,0,0,0,0,0,1;412,30,22,8,5,2;0,1,0,0,0,1,0,1,0,1,0,1,0,1;479;0,1,0,0,0,0,0
1654351462460;39f226d8-2d7a-4691-8578-3d349ea61d82;New Hires by Region (clusteredBarChart) - Region: Midwest, Region: Midwest selected;Region.Regioncategorical, NewHiresByRegion.Regioncategorical, Year.Yearcategorical;NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;9,14,27,35,41,35,33,61,68,72,64,20;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,8,2,12,4,23,5,30,5,36,4,31,4,29,3,58,10,58,10,62,10,54,2,18;0,0,0,0,0,0,0,0,0,0,0,0,0,1;412,30,22,8,5,2;0,1,1,0,0,1,0,1,0,1,0,1,0,1;479;0,1,0,0,0,0,0
1654351465224;39f226d8-2d7a-4691-8578-3d349ea61d82;New Hires by Month (Full-Time/Part-Time) (lineChart) - Month: Aug, FPDesc: Part-Time selected;Region.Regioncategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, Year.Yearcategorical;NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;9,14,27,35,41,35,33,61,68,72,64,20;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0;0,0,1,0;1,8,2,12,4,23,5,30,5,36,4,31,4,29,3,58,10,58,10,62,10,54,2,18;0,0,0,0,0,0,0,0,0,0,0,0,0,1;412,30,22,8,5,2;0,1,0,0,0,1,0,1,0,1,0,1,0,1;479;0,1,0,0,0,0,0
1654351466654;39f226d8-2d7a-4691-8578-3d349ea61d82;New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group C selected;Region.Regioncategorical, NewHiresByEthnicity.Ethnicitycategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;9,14,27,35,41,35,33,61,68,72,64,20;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0,0,0,0;1,1,2,1,2,1,3,3,2,1,3,2;0,0,0,0,1,0,0,0,0,0,0,0,0,1;412,30,22,8,5,2;0,1,0,0,0,1,0,1,0,1,0,1,0,1;479;0,1,0,0,0,0,0
1654351467709;39f226d8-2d7a-4691-8578-3d349ea61d82;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Nov selected;Region.Regioncategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;9,14,27,35,41,35,33,61,68,72,64,20;;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,0,0,0;10,54;0,0,0,0,0,0,0,0,0,0,0,0,0,1;412,30,22,8,5,2;0,1,0,0,0,1,0,1,0,1,0,1,0,1;479;0,1,0,0,0,0,0
1654351468602;39f226d8-2d7a-4691-8578-3d349ea61d82;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Oct selected;Region.Regioncategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;9,14,27,35,41,35,33,61,68,72,64,20;;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;10,62;0,0,0,0,0,0,0,0,0,0,0,0,0,1;412,30,22,8,5,2;0,1,0,0,0,1,0,1,0,1,0,1,0,1;479;0,1,0,0,0,0,0
1654351470537;39f226d8-2d7a-4691-8578-3d349ea61d82;Ethnicity (slicer) - Ethnicity: Group D selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,1,0,0,0;0,1,0,0,0,0,0;0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0;1,1,1,3,2;;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;;0,1,0,1,0,1,0,1,0,0,0,1,0,1;8;0,1,0,0,0,1,0,1,0,1,0,1,0,1;8;0,1,0,0,0,0,0
