time;user;label;Ethnicity.Ethnicity;Region.Region;NewHiresAndNewHiresSamePeriodLastYear.NewHires;NewHiresAndNewHiresSamePeriodLastYear.Month;NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY;NewHiresByMonthAndFPDesc.Month;NewHiresByMonthAndFPDesc.FPDesc;NewHiresByMonthAndFPDesc.NewHires;NewHiresByEthnicity.NewHires;NewHiresByEthnicity.Ethnicity;NewHiresByRegion.NewHires;NewHiresByRegion.Region;Year.Year
1653798032447;5d242f41-c7df-43ab-8734-3e3b3986cc60;Root;0,0,0,0,0,0,0;0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0
1653798039063;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Region (clusteredBarChart) - Region: Northwest selected;0,0,0,0,0,0,0;0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.1800556586270872;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,1,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0
1653798040259;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Region (clusteredBarChart) - Region: East selected;0,0,0,0,0,0,0;0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.0796382189239332;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,1,0,0,0,0,0,0,0;0,0,0,0,0,0,0
1653798041355;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Region (clusteredBarChart) - Region: Central selected;0,0,0,0,0,0,0;0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.16454081632653061;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0
1653798042505;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Region (clusteredBarChart) - Region: South selected;0,0,0,0,0,0,0;0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.16472634508348794;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0
1653798043968;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Region (clusteredBarChart) - Region: North selected;0,0,0,0,0,0,0;0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.16943413729128015;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;1,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0
1653798045395;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group A selected;0,0,0,0,0,0,0;0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.7029916512059369;1;1,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0
1653798046852;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group B selected;0,0,0,0,0,0,0;0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.19100185528756958;1;0,0,1,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0
1653798048945;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group C selected;0,0,0,0,0,0,0;0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.04635899814471243;1;0,0,0,0,1,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0
1653798051867;5d242f41-c7df-43ab-8734-3e3b3986cc60;Ethnicity (slicer) - Ethnicity: Group A selected;1,0,0,0,0,0,0;0,0,0,0,0,0,0;0.7029916512059369;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.7029916512059369;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;0;0.7029916512059369;0,0,0,1,1,1,0,1,0,1,0,1,0,1;0.7029916512059369;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0
1653798053587;5d242f41-c7df-43ab-8734-3e3b3986cc60;Region (slicer) - Region: Northwest selected;1,0,0,0,0,0,0;0,0,1,0,0,0,0;0.13448515769944341;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.13448515769944341;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;0;0.13448515769944341;0,0,0,1,1,1,0,1,0,1,0,1,0,1;0.13448515769944341;0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,0,0,0,0
1653798054595;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group A selected;1,0,0,0,0,0,0;0,0,1,0,0,0,0;0.13448515769944341;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.13448515769944341;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.13448515769944341;0.13448515769944341;1,0,0,1,0,1,0,1,0,1,0,1,0,1;0.13448515769944341;0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,0,0,0,0
1653798057337;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Month and FPDesc (lineChart) - Month: Oct, FPDesc: Part-Time selected;1,0,0,0,0,0,0;0,0,1,0,0,0,0;0.13448515769944341;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.13448515769944341;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0,0,1,0;0.13448515769944341;0.13448515769944341;0,0,0,1,0,1,0,1,0,1,0,1,0,1;0.13448515769944341;0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,0,0,0,0
