time;user;label;Ethnicity.Ethnicity;Region.Region;NewHiresAndNewHiresSamePeriodLastYear.Month;NewHiresAndNewHiresSamePeriodLastYear.NewHires;NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY;NewHiresByMonthAndFPDesc.Month;NewHiresByMonthAndFPDesc.FPDesc;NewHiresByMonthAndFPDesc.NewHires;NewHiresByEthnicity.Ethnicity;NewHiresByEthnicity.NewHires;NewHiresByRegion.Region;NewHiresByRegion.NewHires;Year.Year
1653798100128;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;Root;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0
1653798103780;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;Ethnicity (slicer) - Ethnicity: Group A selected;1,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.7029916512059369;0.7029916512059369;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.7029916512059369;0,0,0,1,0,1,0,1,0,1,0,1,0,1;0.7029916512059369;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.7029916512059369;0,0,0,0,0,0,0
1653798104488;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;Region (slicer) - Region: South selected;1,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.09320500927643785;0.09320500927643785;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.09320500927643785;0,0,0,1,0,1,0,1,0,1,0,1,0,1;0.09320500927643785;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.09320500927643785;0,0,0,0,0,0,0
1653798106296;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group A selected;1,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.09320500927643785;0.09320500927643785;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.09320500927643785;1,0,0,1,0,1,0,1,0,1,0,1,0,1;0.09320500927643785;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.09320500927643785;0,0,0,0,0,0,0
1653798107750;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;Ethnicity (slicer) - deselected;0,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.16472634508348794;0.16472634508348794;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.09320500927643785;1,0,0,0,0,0,0,0,0,0,0,0,0,0;0.16472634508348794;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.16472634508348794;0,0,0,0,0,0,0
1653798108827;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;New Hires by Region (clusteredBarChart) - Region: South, Region: South selected;0,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.16472634508348794;0.16472634508348794;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.16472634508348794;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.16472634508348794;0,1,0,1,0,1,0,1,0,1,1,0,0,1;0.16472634508348794;0,0,0,0,0,0,0
1653798110392;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group C selected;0,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.16472634508348794;0.16472634508348794;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.006377551020408163;0,0,0,0,1,0,0,0,0,0,0,0,0,0;0.16472634508348794;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.16472634508348794;0,0,0,0,0,0,0
1653798112145;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;Region (slicer) - Region: Midwest selected;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.14443413729128016;0.14443413729128016;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.0063543599257884975;0,0,0,0,1,0,0,0,0,0,0,0,0,0;0.14443413729128016;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.14443413729128016;0,0,0,0,0,0,0
1653798113289;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group B selected;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.14443413729128016;0.14443413729128016;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.017346938775510204;0,0,1,0,0,0,0,0,0,0,0,0,0,0;0.14443413729128016;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.14443413729128016;0,0,0,0,0,0,0
1653798114342;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group A selected;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.14443413729128016;0.14443413729128016;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.11523654916512059;1,0,0,0,0,0,0,0,0,0,0,0,0,0;0.14443413729128016;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.14443413729128016;0,0,0,0,0,0,0
1653798115526;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;New Hires by Region (clusteredBarChart) - Region: Midwest, Region: Midwest selected;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.14443413729128016;0.14443413729128016;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.14443413729128016;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.14443413729128016;0,1,1,0,0,1,0,1,0,1,0,1,0,1;0.14443413729128016;0,0,0,0,0,0,0
1653798117153;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;New Hires by Month and FPDesc (lineChart) - Month: Aug, FPDesc: Part-Time selected;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.14443413729128016;0.14443413729128016;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0;0,0,1,0;0.14443413729128016;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.14443413729128016;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.14443413729128016;0,0,0,0,0,0,0
1653798118708;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Nov selected;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;0.14443413729128016;0.14443413729128016;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,0,0,0;0.013798701298701298;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.14443413729128016;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.14443413729128016;0,0,0,0,0,0,0
1653798122168;d7bfb8f6-5baf-4f2c-9dc0-0ab117d3fbba;New Hires by Month and FPDesc (lineChart) - Month: Aug, FPDesc: Part-Time selected;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.14443413729128016;0.14443413729128016;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0;0,0,1,0;0.14443413729128016;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.14443413729128016;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.14443413729128016;0,0,0,0,0,0,0
