time;user;label;Ethnicity.Ethnicity;Region.Region;NewHiresAndNewHiresSamePeriodLastYear.Month;NewHiresAndNewHiresSamePeriodLastYear.NewHires;NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY;NewHiresByMonthAndFPDesc.Month;NewHiresByMonthAndFPDesc.FPDesc;NewHiresByMonthAndFPDesc.NewHires;NewHiresByEthnicity.Ethnicity;NewHiresByEthnicity.NewHires;NewHiresByRegion.Region;NewHiresByRegion.NewHires;Year.Year
1653798175687;e6cfd1c3-adc6-4006-838a-1752c355bba7;Root;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0
1653798180428;e6cfd1c3-adc6-4006-838a-1752c355bba7;New Hires by Region (clusteredBarChart) - Region: West selected;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.09717068645640074;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,1,0;1;0,0,0,0,0,0,0
1653798184149;e6cfd1c3-adc6-4006-838a-1752c355bba7;Region (slicer) - Region: West selected;0,0,0,0,0,0,0;0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.09717068645640074;0.09717068645640074;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.09717068645640074;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.09717068645640074;0,1,0,1,0,1,0,1,0,1,0,1,1,0;0.09717068645640074;0,0,0,0,0,0,0
1653798186083;e6cfd1c3-adc6-4006-838a-1752c355bba7;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group F selected;0,0,0,0,0,0,0;0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.09717068645640074;0.09717068645640074;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.005983302411873841;0,0,0,0,0,0,1,0,0,0,0,0,0,0;0.09717068645640074;0,1,0,1,0,1,0,1,0,1,0,1,0,0;0.09717068645640074;0,0,0,0,0,0,0
1653798187913;e6cfd1c3-adc6-4006-838a-1752c355bba7;Ethnicity (slicer) - Ethnicity: Group F selected;0,0,0,0,0,1,0;0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.005983302411873841;0.005983302411873841;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.005983302411873841;0,1,0,1,0,1,1,0,0,1,0,1,0,1;0.005983302411873841;0,1,0,1,0,1,0,1,0,1,0,1,0,0;0.005983302411873841;0,0,0,0,0,0,0
1653798190855;e6cfd1c3-adc6-4006-838a-1752c355bba7;Year (slicer) - Year: 2011 selected;0,0,0,0,0,1,0;0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.005983302411873841;0.005983302411873841;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.00037105751391465676;0,1,0,1,0,1,1,0,0,1,0,1,0,1;0.005983302411873841;0,1,0,1,0,1,0,1,0,1,0,1,0,0;0.005983302411873841;0,1,0,0,0,0,0
1653798208671;e6cfd1c3-adc6-4006-838a-1752c355bba7;New Hires by Month and FPDesc (lineChart) - Month: Sep, FPDesc: Part-Time selected;0,0,0,0,0,1,0;0,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.00037105751391465676;0;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0;0,0,1,0;0.00037105751391465676;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0.00037105751391465676;0,1,0,1,0,1,0,1,0,1,0,1,0,0;0.00037105751391465676;0,1,0,0,0,0,0
1653798214868;e6cfd1c3-adc6-4006-838a-1752c355bba7;Region (slicer) - Region: Northwest selected;0,0,0,0,0,1,0;0,0,1,0,0,0,0;0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0;0.0002782931354359926;0;0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0;0,0,1,0;0.0002782931354359926;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0.0002782931354359926;0,1,0,1,0,0,0,1,0,1,0,1,0,1;0.0002782931354359926;0,1,0,0,0,0,0
1653798218897;e6cfd1c3-adc6-4006-838a-1752c355bba7;Ethnicity (slicer) - Ethnicity: Group B selected;0,1,0,0,0,0,0;0,0,1,0,0,0,0;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.0012059369202226345;0;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0;0,0,1,0;0.0012059369202226345;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.0012059369202226345;0,1,0,1,0,0,0,1,0,1,0,1,0,1;0.0012059369202226345;0,1,0,0,0,0,0
1653798220156;e6cfd1c3-adc6-4006-838a-1752c355bba7;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group B selected;0,1,0,0,0,0,0;0,0,1,0,0,0,0;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.0012059369202226345;0;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.0012059369202226345;0,1,1,0,0,1,0,1,0,1,0,1,0,1;0.0012059369202226345;0,1,0,1,0,0,0,1,0,1,0,1,0,1;0.0012059369202226345;0,1,0,0,0,0,0
