timestamp;user;age;gender;dashboardExperience;powerBIExperience;confidence;satisfaction;questionId;taskId;correctAnswer;mentalEffort;selectedAnswer;endtime;triggeredAction;selectedValues;filteredValues;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHires<numerical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHiresSPLY<numerical>;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>;NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>;NewHiresByMonth(Full-Time/Part-Time).NewHires<numerical>;NewHiresByEthnicity.NewHires<numerical>;NewHiresByEthnicity.Ethnicity<categorical>;NewHiresByRegion.NewHires<numerical>;NewHiresByRegion.Region<categorical>;Ethnicity.Ethnicity<categorical>;Region.Region<categorical>;Year.Year<categorical>
1656682626571;1edfdae6-d0ff-40e3-87f6-346e93436094;25;f;1;1;4;4;1;1;Jul;2;Jul;1656682692799;Root;Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656682636522;1edfdae6-d0ff-40e3-87f6-346e93436094;25;f;1;1;4;4;1;1;Jul;2;Jul;1656682692799;Region (slicer) - Region: Northwest selected;Region.Region<categorical>, Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;11,67,19,145,21,207,20,196,21,209,22,212,19,178,24,276,18,228,52,364,25,242,14,94;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,1,0,0,0,0;0,0,0,1,0,0,0
1656682648240;1edfdae6-d0ff-40e3-87f6-346e93436094;25;f;1;1;4;4;1;1;Jul;2;Jul;1656682692799;Year (slicer) - Year: 2014 selected;Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;78,164,228,216,230,234,197,300,246,416,267,108;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;31,34,65,79,86,110,69,138,141,234,290,77;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;16,161,23,214,21,146,19,249,19,273,20,326,18,391,19,346,10,360,9,286,6,198,1,39;2003,503,88,45,28,11,6;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2684;0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,0,0,0,0;0,0,1,0,0,0,0;0,0,0,0,1,0,0
1656682652657;1edfdae6-d0ff-40e3-87f6-346e93436094;25;f;1;1;4;4;1;1;Jul;2;Jul;1656682692799;Ethnicity (slicer) - Ethnicity: Group A selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;177,237,167,268,292,346,409,365,370,295,204,40;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;78,164,228,216,230,234,197,300,246,416,267,108;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;13,125,20,155,16,113,16,176,16,197,19,223,16,261,15,238,8,258,9,204,6,141,1,31;2277,595,152,63,61,18,4;0,0,0,0,0,0,0,0,0,0,0,0,0,0;3170;0,1,0,1,0,0,0,1,0,1,0,1,0,1;1,0,0,0,0,0,0;0,0,1,0,0,0,0;0,0,0,0,1,0,0
1656682694235;1edfdae6-d0ff-40e3-87f6-346e93436094;25;f;1;1;4;4;2;1;1021;2;1021;1656682782855;Root;Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656682698725;1edfdae6-d0ff-40e3-87f6-346e93436094;25;f;1;1;4;4;2;1;1021;2;1021;1656682782855;Region (slicer) - Region: East selected;Region.Region<categorical>, Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;19,69,17,55,15,62,37,73,35,77,27,59,26,101,28,76,32,70,38,113,24,95,21,55;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0;0,0,0,1,0,0,0
1656682701363;1edfdae6-d0ff-40e3-87f6-346e93436094;25;f;1;1;4;4;2;1;1021;2;1021;1656682782855;Year (slicer) - Year: 2014 selected;Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;88,72,77,110,112,86,127,104,102,151,119,76;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;32,30,19,27,39,49,39,47,53,77,66,48;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;31,86,24,89,18,71,51,77,55,70,33,103,37,78,39,70,37,115,24,114,22,110,11,38;802,246,87,44,41,2,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1224;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0,0,0,0,0,0,0;0,0,0,1,0,0,0;0,0,0,0,1,0,0
1656682717559;1edfdae6-d0ff-40e3-87f6-346e93436094;25;f;1;1;4;4;2;1;1021;2;1021;1656682782855;New Hires by Region (clusteredBarChart) - Region: East, East selected;NewHiresByRegion.Region<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;117,113,89,128,125,136,115,109,152,138,132,49;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;88,72,77,110,112,86,127,104,102,151,119,76;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;31,86,24,89,18,71,51,77,55,70,33,103,37,78,39,70,37,115,24,114,22,110,11,38;858,347,66,62,61,7,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1403;0,1,0,1,0,1,1,0,0,1,0,1,0,1;0,0,0,0,0,0,0;0,0,0,1,0,0,0;0,0,0,0,1,0,0
1656682727937;1edfdae6-d0ff-40e3-87f6-346e93436094;25;f;1;1;4;4;2;1;1021;2;1021;1656682782855;Ethnicity (slicer) - Ethnicity: Group A selected;NewHiresByRegion.Region<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;117,113,89,128,125,136,115,109,152,138,132,49;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;88,72,77,110,112,86,127,104,102,151,119,76;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;26,64,17,59,14,45,37,41,46,35,25,59,28,36,30,38,27,62,18,58,16,57,8,12;858,347,66,62,61,7,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1403;0,1,0,1,0,1,1,0,0,1,0,1,0,1;1,0,0,0,0,0,0;0,0,0,1,0,0,0;0,0,0,0,1,0,0
1656682728980;1edfdae6-d0ff-40e3-87f6-346e93436094;25;f;1;1;4;4;2;1;1021;2;1021;1656682782855;Ethnicity (slicer) - deselected;NewHiresByRegion.Region<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;117,113,89,128,125,136,115,109,152,138,132,49;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;88,72,77,110,112,86,127,104,102,151,119,76;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;31,86,24,89,18,71,51,77,55,70,33,103,37,78,39,70,37,115,24,114,22,110,11,38;858,347,66,62,61,7,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1403;0,1,0,1,0,1,1,0,0,1,0,1,0,1;0,0,0,0,0,0,0;0,0,0,1,0,0,0;0,0,0,0,1,0,0
