timestamp;user;age;gender;dashboardExperience;powerBIExperience;confidence;satisfaction;questionId;taskId;correctAnswer;mentalEffort;selectedAnswer;endtime;triggeredAction;selectedValues;filteredValues;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHires<numerical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHiresSPLY<numerical>;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>;NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>;NewHiresByMonth(Full-Time/Part-Time).NewHires<numerical>;NewHiresByEthnicity.NewHires<numerical>;NewHiresByEthnicity.Ethnicity<categorical>;NewHiresByRegion.NewHires<numerical>;NewHiresByRegion.Region<categorical>;Ethnicity.Ethnicity<categorical>;Region.Region<categorical>;Year.Year<categorical>
1657540306461;28a1672b-d149-4cef-aec9-cff195c392dd;30;f;0;-1;-1;4;5;3;22;2;10;1657540440498;Root;Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1657540338015;28a1672b-d149-4cef-aec9-cff195c392dd;30;f;0;-1;-1;4;5;3;22;2;10;1657540440498;New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Feb selected;NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Year.Year<categorical>;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,0,0,0;65,523;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1657540346619;28a1672b-d149-4cef-aec9-cff195c392dd;30;f;0;-1;-1;4;5;3;22;2;10;1657540440498;New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - deselected;Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1657540365171;28a1672b-d149-4cef-aec9-cff195c392dd;30;f;0;-1;-1;4;5;3;22;2;10;1657540440498;Region (slicer) - Region: East selected;Region.Region<categorical>, Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;19,69,17,55,15,62,37,73,35,77,27,59,26,101,28,76,32,70,38,113,24,95,21,55;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0;0,0,0,1,0,0,0
1657540380461;28a1672b-d149-4cef-aec9-cff195c392dd;30;f;0;-1;-1;4;5;3;22;2;10;1657540440498;Year (slicer) - Year: 2012 selected;Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;32,30,19,27,39,49,39,47,53,77,66,48;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;11,11,16,17,16,30,22,28,35,35,42,18;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;15,17,20,10,15,4,15,12,22,17,21,28,10,29,21,26,23,30,26,51,17,49,8,40;374,83,31,23,15;0,0,0,0,0,0,0,0,0,0,0,1,0,1;526;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0,0,0,0,0,0,0;0,0,0,1,0,0,0;0,0,1,0,0,0,0
1657540399236;28a1672b-d149-4cef-aec9-cff195c392dd;30;f;0;-1;-1;4;5;3;22;2;10;1657540440498;New Hires by Month (Full-Time/Part-Time) (lineChart) - Month: Feb, Mar, Apr, May, Feb, Mar, Apr, May. FPDesc: Full-Time, Full-Time, Full-Time, Full-Time, Part-Time, Part-Time, Part-Time, Part-Time selected;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;32,30,19,27,39,49,39,47,53,77,66,48;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;11,11,16,17,16,30,22,28,35,35,42,18;0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,0,1,0;15,17,20,10,15,4,15,12,22,17,21,28,10,29,21,26,23,30,26,51,17,49,8,40;374,83,31,23,15;0,0,0,0,0,0,0,0,0,0,0,1,0,1;526;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0,0,0,0,0,0,0;0,0,0,1,0,0,0;0,0,1,0,0,0,0
1657540415130;28a1672b-d149-4cef-aec9-cff195c392dd;30;f;0;-1;-1;4;5;3;22;2;10;1657540440498;Ethnicity (slicer) - Ethnicity: Group B selected;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;32,30,19,27,39,49,39,47,53,77,66,48;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;11,11,16,17,16,30,22,28,35,35,42,18;0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,0,1,0;2,2,4,2,1,2,1,1,7,1,8,3,3,3,8,13,14,8;374,83,31,23,15;0,0,0,0,0,0,0,0,0,0,0,1,0,1;526;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0,1,0,0,0,0,0;0,0,0,1,0,0,0;0,0,1,0,0,0,0
1657540444150;28a1672b-d149-4cef-aec9-cff195c392dd;30;f;0;-1;-1;4;1;1;Jul;2;Jul;1657540594259;Root;Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1657540459030;28a1672b-d149-4cef-aec9-cff195c392dd;30;f;0;-1;-1;4;1;1;Jul;2;Jul;1657540594259;Ethnicity (slicer) - Ethnicity: Group A selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;301,457,743,803,929,856,923,1039,903,1281,902,434;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;185,205,352,336,407,425,331,684,724,762,796,301;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;42,259,55,402,57,686,80,723,95,834,70,786,71,852,71,968,66,837,110,1171,71,831,41,393;9571;0,0,0,1,0,1,0,1,0,1,0,1,0,1;1722,1523,2003,802,1577,1257,687;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1657540464411;28a1672b-d149-4cef-aec9-cff195c392dd;30;f;0;-1;-1;4;1;1;Jul;2;Jul;1657540594259;Year (slicer) - Year: 2014 selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;301,457,743,803,929,856,923,1039,903,1281,902,434;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;185,205,352,336,407,425,331,684,724,762,796,301;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;62,514,60,751,67,806,104,906,97,1191,72,1254,63,1201,72,1355,63,1401,64,1335,39,893,13,217;9571;0,0,0,1,0,1,0,1,0,1,0,1,0,1;1722,1523,2003,802,1577,1257,687;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,1,0,0
