timestamp;user;age;gender;dashboardExperience;powerBIExperience;confidence;satisfaction;questionId;taskId;correctAnswer;mentalEffort;selectedAnswer;endtime;triggeredAction;selectedValues;filteredValues;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHires<numerical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHiresSPLY<numerical>;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>;NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>;NewHiresByMonth(Full-Time/Part-Time).NewHires<numerical>;NewHiresByEthnicity.NewHires<numerical>;NewHiresByEthnicity.Ethnicity<categorical>;NewHiresByRegion.NewHires<numerical>;NewHiresByRegion.Region<categorical>;Ethnicity.Ethnicity<categorical>;Region.Region<categorical>;Year.Year<categorical>
1656743249313;4fffae6a-8a16-48e0-83d6-3d314c5b3659;24;f;0;-1;-1;5;6;3;768;1;768;1656743277451;Root;Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656743257036;4fffae6a-8a16-48e0-83d6-3d314c5b3659;24;f;0;-1;-1;5;6;3;768;1;768;1656743277451;Region (slicer) - Region: South selected;Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;56,75,109,141,172,196,222,231,176,324,234,89;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;35,58,77,55,83,88,76,153,225,142,132,66;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;5,51,5,70,5,104,9,132,6,166,2,194,8,214,8,223,5,171,11,313,8,226,3,86;1257,565,81,75,36,8,3;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2025;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656743262940;4fffae6a-8a16-48e0-83d6-3d314c5b3659;24;f;0;-1;-1;5;6;3;768;1;768;1656743277451;Ethnicity (slicer) - Ethnicity: Group B selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;19,21,32,44,46,59,68,51,56,126,94,30;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;5,13,20,9,22,21,21,42,69,55,50,25;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,18,21,2,31,4,41,2,47,60,1,71,56,2,60,5,127,2,100,1,30;565;0,1,0,0,0,1,0,1,0,1,0,1,0,1;565;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,1,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656743263418;4fffae6a-8a16-48e0-83d6-3d314c5b3659;24;f;0;-1;-1;5;6;3;768;1;768;1656743277451;Ethnicity (slicer) - Ethnicity: Group B, Group C selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;19,21,32,44,46,59,68,51,56,126,94,30;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;5,13,20,9,22,21,21,42,69,55,50,25;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,19,25,2,34,4,47,2,49,1,66,1,76,1,72,2,64,5,139,3,112,1,31;565;0,1,0,0,0,1,0,1,0,1,0,1,0,1;565;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,1,1,0,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656743263575;4fffae6a-8a16-48e0-83d6-3d314c5b3659;24;f;0;-1;-1;5;6;3;768;1;768;1656743277451;Ethnicity (slicer) - Ethnicity: Group B, Group C, Group D selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;19,21,32,44,46,59,68,51,56,126,94,30;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;5,13,20,9,22,21,21,42,69,55,50,25;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,18,21,2,31,4,41,2,47,60,1,71,56,2,60,5,127,2,100,1,30;565,81,75,36;0,1,0,0,0,0,0,0,0,0,0,1,0,1;757;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,1,1,1,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656743263900;4fffae6a-8a16-48e0-83d6-3d314c5b3659;24;f;0;-1;-1;5;6;3;768;1;768;1656743277451;Ethnicity (slicer) - Ethnicity: Group B, Group C, Group D, Group F selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;19,21,32,44,46,59,68,51,56,126,94,30;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;5,13,20,9,22,21,21,42,69,55,50,25;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,18,21,2,31,4,41,2,47,60,1,71,56,2,60,5,127,2,100,1,30;565,81,75,36;0,1,0,0,0,0,0,0,0,0,0,1,0,1;757;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,1,1,1,0,1,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656743264539;4fffae6a-8a16-48e0-83d6-3d314c5b3659;24;f;0;-1;-1;5;6;3;768;1;768;1656743277451;Ethnicity (slicer) - Ethnicity: Group B, Group C, Group D selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;19,21,32,44,46,59,68,51,56,126,94,30;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;5,13,20,9,22,21,21,42,69,55,50,25;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,21,21,2,31,4,42,2,47,61,1,73,57,2,60,5,127,2,100,1,30;565,81,36;0,1,0,0,0,0,0,1,0,0,0,1,0,1;757;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,1,1,1,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656743264956;4fffae6a-8a16-48e0-83d6-3d314c5b3659;24;f;0;-1;-1;5;6;3;768;1;768;1656743277451;Ethnicity (slicer) - Ethnicity: Group B, Group C, Group D, Group E selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;23,25,36,52,51,68,79,74,66,144,115,32;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;6,15,28,10,26,27,23,54,82,63,59,26;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,22,25,2,34,4,48,2,49,1,67,1,78,1,73,2,64,5,139,3,112,1,31;565,81,75,36,8;0,1,0,0,0,0,0,0,0,0,0,0,0,1;765;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,1,1,1,1,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656743265181;4fffae6a-8a16-48e0-83d6-3d314c5b3659;24;f;0;-1;-1;5;6;3;768;1;768;1656743277451;Ethnicity (slicer) - Ethnicity: Group B, Group C, Group D, Group E, Group F selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;23,25,36,52,51,68,79,74,66,144,115,32;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;6,15,28,10,26,27,23,54,82,63,59,26;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,22,27,2,34,4,48,2,49,1,67,1,78,1,74,2,64,5,139,3,112,1,31;565,81,75,36,8;0,1,0,0,0,0,0,0,0,0,0,0,0,1;765;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,1,1,1,1,1,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656743265383;4fffae6a-8a16-48e0-83d6-3d314c5b3659;24;f;0;-1;-1;5;6;3;768;1;768;1656743277451;Ethnicity (slicer) - Ethnicity: Group B, Group C, Group D, Group E, Group F, Group G selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;23,27,36,52,51,68,79,75,66,144,115,32;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;6,15,28,10,26,27,23,54,83,63,59,26;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,22,27,2,34,4,48,2,49,1,67,1,78,1,74,2,64,5,139,3,112,1,31;565,81,75,36,8,3;0,1,0,0,0,0,0,0,0,0,0,0,0,0;768;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,1,1,1,1,1,1;0,0,0,0,0,1,0;0,0,0,1,0,0,0
