timestamp;user;age;gender;dashboardExperience;powerBIExperience;confidence;satisfaction;questionId;taskId;correctAnswer;mentalEffort;selectedAnswer;endtime;triggeredAction;selectedValues;filteredValues;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHires<numerical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHiresSPLY<numerical>;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>;NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>;NewHiresByMonth(Full-Time/Part-Time).NewHires<numerical>;NewHiresByEthnicity.NewHires<numerical>;NewHiresByEthnicity.Ethnicity<categorical>;NewHiresByRegion.NewHires<numerical>;NewHiresByRegion.Region<categorical>;Ethnicity.Ethnicity<categorical>;Region.Region<categorical>;Year.Year<categorical>
1656742201690;53ccd7c5-abcc-491d-a88e-7da21d5fe18f;22;m;0;-1;-1;2;1;1;Jul;3;Oct;1656742298912;Root;Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742271652;53ccd7c5-abcc-491d-a88e-7da21d5fe18f;22;m;0;-1;-1;2;1;1;Jul;3;Oct;1656742298912;Ethnicity (slicer) - Ethnicity: Group A selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;301,457,743,803,929,856,923,1039,903,1281,902,434;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;185,205,352,336,407,425,331,684,724,762,796,301;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;42,259,55,402,57,686,80,723,95,834,70,786,71,852,71,968,66,837,110,1171,71,831,41,393;9571;0,0,0,1,0,1,0,1,0,1,0,1,0,1;1722,1523,2003,802,1577,1257,687;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742306959;53ccd7c5-abcc-491d-a88e-7da21d5fe18f;22;m;0;-1;-1;2;5;3;22;3;20;1656742419741;Root;Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742312968;53ccd7c5-abcc-491d-a88e-7da21d5fe18f;22;m;0;-1;-1;2;5;3;22;3;20;1656742419741;Ethnicity (slicer) - Ethnicity: Group B selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;53,70,157,189,203,238,249,257,220,411,269,100;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;17,37,43,48,80,90,96,132,160,176,208,75;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;3,50,2,68,8,149,9,180,7,196,12,226,8,241,12,245,6,214,13,398,6,263,8,92;2416;0,1,0,0,0,1,0,1,0,1,0,1,0,1;229,193,503,246,370,565,310;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742325817;53ccd7c5-abcc-491d-a88e-7da21d5fe18f;22;m;0;-1;-1;2;5;3;22;3;20;1656742419741;Year (slicer) - Year: 2012 selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;53,70,157,189,203,238,249,257,220,411,269,100;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;17,37,43,48,80,90,96,132,160,176,208,75;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;4,13,11,26,3,40,9,39,80,4,86,9,87,9,123,8,152,8,168,9,199,8,67;1162;0,1,0,0,0,1,0,1,0,1,0,1,0,1;229,193,503,246,370,565,310;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0;0,0,1,0,0,0,0
1656742349573;53ccd7c5-abcc-491d-a88e-7da21d5fe18f;22;m;0;-1;-1;2;5;3;22;3;20;1656742419741;Region (slicer) - Region: East selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;4,4,3,2,1,8,9,6,11,13,14,8;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,4,1,3,5,2,4,7;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,2,4,2,1,2,1,1,7,1,8,3,3,3,8,13,14,8;83;0,1,0,0,0,1,0,1,0,1,0,1,0,1;83;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0,1,0,0,0,0,0;0,0,0,1,0,0,0;0,0,1,0,0,0,0
1656742426952;53ccd7c5-abcc-491d-a88e-7da21d5fe18f;22;m;0;-1;-1;2;2;1;1021;3;1021;1656742549830;Root;Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742429446;53ccd7c5-abcc-491d-a88e-7da21d5fe18f;22;m;0;-1;-1;2;2;1;1021;3;1021;1656742549830;Year (slicer) - Year: 2014 selected;Year.Year<categorical>;;774,1114,1246,1475,1986,2186,1961,2189,2212,2103,1461,366;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;73,701,77,1037,87,1159,124,1351,139,1847,100,2086,92,1869,91,2098,84,2128,75,2028,50,1411,17,349;12600,4342,853,781,365,108,24;0,0,0,0,0,0,0,0,0,0,0,0,0,0;3238,2806,3170,1403,3227,3392,1837;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,1,0,0
1656742433774;53ccd7c5-abcc-491d-a88e-7da21d5fe18f;22;m;0;-1;-1;2;2;1;1021;3;1021;1656742549830;Region (slicer) - Region: East selected;Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;117,113,89,128,125,136,115,109,152,138,132,49;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;88,72,77,110,112,86,127,104,102,151,119,76;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;31,86,24,89,18,71,51,77,55,70,33,103,37,78,39,70,37,115,24,114,22,110,11,38;858,347,66,62,61,7,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1403;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0,0,0,0,0,0,0;0,0,0,1,0,0,0;0,0,0,0,1,0,0
1656742557512;53ccd7c5-abcc-491d-a88e-7da21d5fe18f;22;m;0;-1;-1;2;3;2;2013;2;2013;1656742592055;Root;Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
