dashboard_experience,line,user_id,answer_correct,no_of_steps,running_time,question_id,timestamp,selected_values,filtered_values,triggered_action,multiplicity,x,y
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,6,598.657,4,1656742664980,Year.Year<categorical>,nan,Root,48,-16.179678,-16.314384
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,6,598.657,4,1656743223848,Year.Year<categorical>,nan,Year (slicer) - Year: 2014 selected,19,-24.92408,-12.551545
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,6,598.657,4,1656743235049,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,27,-29.372149,-14.658142
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,6,598.657,4,1656743238278,Year.Year<categorical>,nan,Year (slicer) - Year: 2014 selected,19,-24.922798,-12.552305
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,6,598.657,4,1656743240947,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,27,-29.37216,-14.65816
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,6,598.657,4,1656743246271,Year.Year<categorical>,nan,Year (slicer) - Year: 2014 selected,19,-24.921556,-12.553083
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,102.564,4,1656682697460,Year.Year<categorical>,nan,Root,48,-16.179678,-16.314384
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,102.564,4,1656682723121,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: Northwest selected,24,17.667532,4.386849
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,102.564,4,1656682730159,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2012 selected,59,7.971607,-1.780702
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,102.564,4,1656682735150,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2014 selected,59,6.030477,11.540354
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,102.564,4,1656682739893,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2012 selected,59,8.44052,-1.7468731
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,102.564,4,1656682753497,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2014 selected,59,6.268694,11.813669
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,102.564,4,1656682760060,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2012 selected,59,8.445213,-1.7453437
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,102.564,4,1656682774051,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2014 selected,59,6.0534835,11.606297
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,5,80.272,4,1656742415623,Year.Year<categorical>,nan,Root,48,-16.179678,-16.314384
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,5,80.272,4,1656742430756,Year.Year<categorical>,nan,Year (slicer) - Year: 2014 selected,19,-24.924706,-12.550532
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,5,80.272,4,1656742434783,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,27,-29.372335,-14.658313
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,5,80.272,4,1656742438542,"Region.Region<categorical>, Year.Year<categorical>",nan,Region (slicer) - Region: Northwest selected,5,-30.685688,-14.6187525
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,5,80.272,4,1656742473706,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2014 selected,59,6.2765326,11.804982
0,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,True,6,65.369,4,1656742361462,Year.Year<categorical>,nan,Root,48,-16.179678,-16.314384
0,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,True,6,65.369,4,1656742369011,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,27,-29.361223,-14.649275
0,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,True,6,65.369,4,1656742372045,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: Northwest selected,59,7.51011,-1.4721799
0,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,True,6,65.369,4,1656742396986,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2014 selected,59,6.10488,11.647363
0,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,True,6,65.369,4,1656742407264,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2012 selected,59,7.5954113,-1.571538
0,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,True,6,65.369,4,1656742415518,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2014 selected,59,5.990513,11.100113
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,6,116.718,4,1656496752635,Year.Year<categorical>,nan,Root,48,-16.179678,-16.314384
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,6,116.718,4,1656496758103,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: Northwest selected,24,17.6675,4.386854
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,6,116.718,4,1656496778757,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2012 selected,59,7.469634,-1.4073894
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,6,116.718,4,1656496806237,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2014 selected,59,5.9905133,11.100114
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,6,116.718,4,1656496811293,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2012 selected,59,8.037793,-1.10314
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,6,116.718,4,1656496826728,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2014 selected,59,6.0042386,11.058512
0,6,0c6a2d5a-587b-4daf-84d8-2866f240a7a7,True,9,54.366,4,1656742513885,Year.Year<categorical>,nan,Root,48,-16.179678,-16.314384
