dashboard_experience,power_bi_experience,confidence,sample,line,user_id,answer_correct,no_of_steps,question_id,timestamp,selected_values,filtered_values,triggered_action,multiplicity,x,y
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,3,6,1656743270276,Year.Year<categorical>,nan,Root,49,2.6272876,9.364988
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,3,6,1656743278428,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Ethnicity (slicer) - Ethnicity: Group A selected,2,7.071875,7.136217
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,3,6,1656743285960,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: South selected,19,-8.567327,-0.6679127
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,6,1656682985429,Year.Year<categorical>,nan,Root,49,2.6272876,9.364988
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,6,1656682992367,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: South selected,42,-3.690622,5.8322735
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,6,1656683000568,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Ethnicity (slicer) - Ethnicity: Group B selected,17,-7.338583,-0.6574879
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,6,1656683001163,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Ethnicity (slicer) - Ethnicity: Group C selected,6,-7.1412516,-0.31744665
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,6,1656683001763,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Ethnicity (slicer) - Ethnicity: Group B selected,17,-7.338583,-0.6574879
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,6,1656683002703,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","Ethnicity (slicer) - Ethnicity: Group B, Group C selected",3,-6.73282,-0.78004825
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,6,1656683004424,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","Ethnicity (slicer) - Ethnicity: Group B, Group C, Group D, Group E, Group F selected",3,-3.1866674,-0.98555666
